Date : 2022-05-16 02:16:36
Directory : c:\Users\menka\BaRepo
Total : 105 files,  2700 codes, 143 comments, 495 blanks, all 3338 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\menka\BaRepo\src\app\shared\components\header\header.component.spec.ts             | TypeScript         |         21 |          0 |          4 |         25 |
| c:\Users\menka\BaRepo\src\app\shared\components\header\header.component.ts                  | TypeScript         |         32 |          1 |         18 |         51 |
| c:\Users\menka\BaRepo\src\app\shared\components\sidebar\sidebar.component.html              | HTML               |         26 |          0 |          7 |         33 |
| c:\Users\menka\BaRepo\src\app\shared\components\sidebar\sidebar.component.scss              | SCSS               |         16 |          0 |          1 |         17 |
| c:\Users\menka\BaRepo\src\app\shared\components\sidebar\sidebar.component.spec.ts           | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BaRepo\src\app\shared\components\sidebar\sidebar.component.ts                | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\menka\BaRepo\src\app\shared\shared.module.ts                                       | TypeScript         |         48 |          0 |          2 |         50 |
| c:\Users\menka\BaRepo\src\app\shared\widgets\area\area.component.html                       | HTML               |          2 |          0 |          0 |          2 |
| c:\Users\menka\BaRepo\src\app\shared\widgets\area\area.component.scss                       | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\menka\BaRepo\src\app\shared\widgets\area\area.component.spec.ts                    | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BaRepo\src\app\shared\widgets\area\area.component.ts                         | TypeScript         |         44 |          0 |         10 |         54 |
| c:\Users\menka\BaRepo\src\app\shared\widgets\card\card.component.html                       | HTML               |         16 |          0 |          4 |         20 |
| c:\Users\menka\BaRepo\src\app\shared\widgets\card\card.component.scss                       | SCSS               |         17 |          0 |          4 |         21 |
| c:\Users\menka\BaRepo\src\app\shared\widgets\card\card.component.spec.ts                    | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BaRepo\src\app\shared\widgets\card\card.component.ts                         | TypeScript         |         78 |          0 |          9 |         87 |
| c:\Users\menka\BaRepo\src\app\shared\widgets\pie\pie.component.html                         | HTML               |          2 |          0 |          0 |          2 |
| c:\Users\menka\BaRepo\src\app\shared\widgets\pie\pie.component.scss                         | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\menka\BaRepo\src\app\shared\widgets\pie\pie.component.spec.ts                      | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BaRepo\src\app\shared\widgets\pie\pie.component.ts                           | TypeScript         |         57 |          0 |          9 |         66 |
| c:\Users\menka\BaRepo\src\environments\environment.prod.ts                                  | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\menka\BaRepo\src\environments\environment.ts                                       | TypeScript         |          3 |         11 |          3 |         17 |
| c:\Users\menka\BaRepo\src\index.html                                                        | HTML               |         26 |          0 |          2 |         28 |
| c:\Users\menka\BaRepo\src\main.ts                                                           | TypeScript         |         10 |          0 |          4 |         14 |
| c:\Users\menka\BaRepo\src\polyfills.ts                                                      | TypeScript         |          1 |         55 |          8 |         64 |
| c:\Users\menka\BaRepo\src\styles.scss                                                       | SCSS               |          4 |          1 |          3 |          8 |
| c:\Users\menka\BaRepo\src\test.ts                                                           | TypeScript         |         13 |          4 |          4 |         21 |
| c:\Users\menka\BaRepo\tsconfig.app.json                                                     | JSON               |         14 |          0 |          1 |         15 |
| c:\Users\menka\BaRepo\tsconfig.json                                                         | JSON with Comments |         24 |          0 |          1 |         25 |
| c:\Users\menka\BaRepo\tsconfig.spec.json                                                    | JSON               |         18 |          0 |          1 |         19 |
| c:\Users\menka\BaRepo\tslint.json                                                           | JSON               |         92 |          0 |          0 |         92 |
| Total                                                                                       |                    |      2,700 |        143 |        495 |      3,338 |
+---------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
