"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\menka\BaRepo\src\app\modules\tasksheetspecific\tasksheetspecific.component.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 8, 68
"c:\Users\menka\BaRepo\src\app\modules\teacher.model.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\menka\BaRepo\src\app\new-work-sheet-form\new-work-sheet-form.component.html", "HTML", 0, 0, 0, 0, 0, 0, 62, 0, 17, 79
"c:\Users\menka\BaRepo\src\app\new-work-sheet-form\new-work-sheet-form.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\menka\BaRepo\src\app\new-work-sheet-form\new-work-sheet-form.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BaRepo\src\app\new-work-sheet-form\new-work-sheet-form.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\menka\BaRepo\src\app\shared.service.spec.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\menka\BaRepo\src\app\shared.service.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 6, 7, 88
"c:\Users\menka\BaRepo\src\app\shared\components\footer\footer.component.html", "HTML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\menka\BaRepo\src\app\shared\components\footer\footer.component.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\menka\BaRepo\src\app\shared\components\footer\footer.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BaRepo\src\app\shared\components\footer\footer.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\menka\BaRepo\src\app\shared\components\header\header.component.html", "HTML", 0, 0, 0, 0, 0, 0, 37, 0, 5, 42
"c:\Users\menka\BaRepo\src\app\shared\components\header\header.component.scss", "SCSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\menka\BaRepo\src\app\shared\components\header\header.component.spec.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\menka\BaRepo\src\app\shared\components\header\header.component.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 1, 18, 51
"c:\Users\menka\BaRepo\src\app\shared\components\sidebar\sidebar.component.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 0, 7, 33
"c:\Users\menka\BaRepo\src\app\shared\components\sidebar\sidebar.component.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\menka\BaRepo\src\app\shared\components\sidebar\sidebar.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BaRepo\src\app\shared\components\sidebar\sidebar.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\menka\BaRepo\src\app\shared\shared.module.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 2, 50
"c:\Users\menka\BaRepo\src\app\shared\widgets\area\area.component.html", "HTML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\menka\BaRepo\src\app\shared\widgets\area\area.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\menka\BaRepo\src\app\shared\widgets\area\area.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BaRepo\src\app\shared\widgets\area\area.component.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 10, 54
"c:\Users\menka\BaRepo\src\app\shared\widgets\card\card.component.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 4, 20
"c:\Users\menka\BaRepo\src\app\shared\widgets\card\card.component.scss", "SCSS", 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
