"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "JSON", "SCSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\menka\BachelorAngular\src\app\shared\widgets\area\area.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\menka\BachelorAngular\src\app\shared\widgets\area\area.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BachelorAngular\src\app\shared\widgets\area\area.component.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 0, 10, 54
"c:\Users\menka\BachelorAngular\src\app\shared\widgets\card\card.component.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\menka\BachelorAngular\src\app\shared\widgets\card\card.component.scss", "SCSS", 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\menka\BachelorAngular\src\app\shared\widgets\card\card.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BachelorAngular\src\app\shared\widgets\card\card.component.ts", "TypeScript", 0, 78, 0, 0, 0, 0, 0, 0, 9, 87
"c:\Users\menka\BachelorAngular\src\app\shared\widgets\pie\pie.component.html", "HTML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\menka\BachelorAngular\src\app\shared\widgets\pie\pie.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\menka\BachelorAngular\src\app\shared\widgets\pie\pie.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BachelorAngular\src\app\shared\widgets\pie\pie.component.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 0, 9, 66
"c:\Users\menka\BachelorAngular\src\environments\environment.prod.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\menka\BachelorAngular\src\environments\environment.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 11, 3, 17
"c:\Users\menka\BachelorAngular\src\index.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 0, 2, 28
"c:\Users\menka\BachelorAngular\src\main.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\menka\BachelorAngular\src\polyfills.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 55, 8, 64
"c:\Users\menka\BachelorAngular\src\styles.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 1, 3, 8
"c:\Users\menka\BachelorAngular\src\test.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 4, 4, 21
"c:\Users\menka\BachelorAngular\tsconfig.app.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\menka\BachelorAngular\tsconfig.json", "JSON with Comments", 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\menka\BachelorAngular\tsconfig.spec.json", "JSON", 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\menka\BachelorAngular\tslint.json", "JSON", 0, 0, 0, 92, 0, 0, 0, 0, 0, 92
"Total", "-", 37, 1864, 199, 235, 165, 500, 53, 167, 462, 3682
